Designator,Footprint,Quantity,Value,LCSC Part #
A1,raspberry_pi_pico_THT,1,Raspberry_Pi_Pico_THT,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D3, D4, D5, D6, D7, D8, D9",D_SMA,24,Diode,C81598
D25,D_SMA,1,D_Generic,
"J10, J9",NEUTRIK_NC3MAH,2,NC3MAH,
"S1, S10, S11, S12, S13, S14, S15, S16, S17, S2, S20, S21, S22, S23, S24, S3, S4, S5, S6, S7, S8, S9",SW_Hotswap_Kailh_MX_1.00u,22,~,C41430893
S18,SW_Hotswap_Kailh_MX_1.50u_90deg,1,~,C41430893
S19,SW_Hotswap_Kailh_MX_1.50u_90deg,1,~,
