Designator,Mid X,Mid Y,Rotation,Layer
-_1,238.57,-88.35,0,bottom
-_D1,245.9,-94.25,90,bottom
0)1,219.52,-88.35,0,bottom
0)D1,226.85,-94.25,90,bottom
1!1,48.07,-88.35,0,bottom
1!D1,55.4,-94.05,90,bottom
2@1,67.12,-88.35,0,bottom
2@D1,74.45,-94.05,90,bottom
3#1,86.17,-88.35,0,bottom
3#D1,93.5,-94.25,90,bottom
4$1,105.22,-88.35,0,bottom
4$D1,112.55,-94.25,90,bottom
5%1,124.27,-88.35,0,bottom
5%D1,131.6,-94.25,90,bottom
6^1,143.32,-88.35,0,bottom
6^D1,150.65,-94.25,90,bottom
7&1,162.37,-88.35,0,bottom
7&D1,169.7,-94.25,90,bottom
8*1,181.42,-88.35,0,bottom
8*D1,188.75,-94.25,90,bottom
9(1,200.47,-88.35,0,bottom
9(D1,207.8,-94.25,90,bottom
=+1,257.62,-88.35,0,bottom
=+D1,264.95,-94.25,90,bottom
BACKSPACE1,276.67,-88.35,0,bottom
BACKSPACE2,295.72,-88.35,0,bottom
BACKSPACED1,284,-94.25,90,bottom
BACKSPACED2,303.05,-94.25,90,bottom
C1,182.37,-50.365,270,bottom
C10,166.68,-46.895,90,bottom
C11,163.33,-46.895,90,bottom
C12,159.98,-46.895,90,bottom
C13,111.355476,-23.705476,180,bottom
C14,202.47,-44.715,90,bottom
C15,126.93,-51.1,180,bottom
C16,122.56,-45.99,180,bottom
C17,182.37,-44.715,90,bottom
C2,185.72,-50.365,270,bottom
C20,163.06,-38.83,0,bottom
C21,167.785,-39.1,0,bottom
C22,152.915,-22.04,180,bottom
C23,111.355,-17.005476,0,bottom
C24,111.355,-20.355476,0,bottom
C25,195.77,-44.715,270,bottom
C26,199.12,-44.715,270,bottom
C27,192.42,-44.715,270,bottom
C3,189.07,-50.365,270,bottom
C4,192.42,-50.365,270,bottom
C5,195.77,-50.365,270,bottom
C6,199.12,-50.365,270,bottom
C7,202.47,-50.365,270,bottom
C8,189.07,-44.715,90,bottom
C9,185.72,-44.715,90,bottom
COMMAND1,86.17,-164.55,0,bottom
COMMAND2,219.521,-164.55,0,bottom
CONTROL1,48.07,-164.55,0,bottom
D31,43.46,-113.1,90,bottom
D32,65.45,-113.1,90,bottom
D33,84.5,-113.1,90,bottom
D34,103.55,-113.1,90,bottom
D35,122.6,-113.1,90,bottom
D36,141.65,-113.1,90,bottom
D37,160.7,-113.1,90,bottom
D38,179.75,-113.1,90,bottom
D39,198.8,-113.1,90,bottom
D40,217.85,-113.1,90,bottom
D41,236.9,-113.1,90,bottom
D42,255.95,-113.1,90,bottom
D43,274.1,-113.1,90,bottom
D44,299.15,-113.1,90,bottom
