-_1:1
-_D1:1
0)1:1
0)D1:1
1!1:1
1!D1:1
2@1:1
2@D1:1
3#1:1
3#D1:1
4$1:1
4$D1:1
5%1:1
5%D1:1
6^1:1
6^D1:1
7&1:1
7&D1:1
8*1:1
8*D1:1
9(1:1
9(D1:1
=+1:1
=+D1:1
BACKSPACE1:1
BACKSPACE2:1
BACKSPACED1:1
BACKSPACED2:1
C1:1
C10:1
C11:1
C12:1
C13:1
C14:1
C15:1
C16:1
C17:1
C2:1
C20:1
C21:1
C22:1
C23:1
C24:1
C25:1
C26:1
C27:1
C3:1
C4:1
C5:1
C6:1
C7:1
C8:1
C9:1
COMMAND1:1
COMMAND2:1
CONTROL1:1
D31:1
D32:1
D33:1
D34:1
D35:1
D36:1
D37:1
D38:1
D39:1
D40:1
D41:1
D42:1
D43:1
D44:1
D45:1
D46:1
D47:1
D48:1
D49:1
D50:1
D51:1
D52:1
D53:1
D54:1
D55:1
D56:1
D57:1
D58:1
D59:1
D60:1
D61:1
D62:1
D63:1
D64:1
D65:1
D66:1
D67:1
D68:1
D69:1
D70:1
D71:1
D72:1
D73:1
D74:1
D75:1
D76:1
D77:1
D78:1
D79:1
D80:1
D81:1
D82:1
D84:1
D85:1
D86:1
D87:1
D88:1
D89:1
D91:1
DEL1:1
DEL2:1
DELD1:1
DELD2:1
DOWN1:1
E1:1
ESC1:1
ESCD1:1
F1:1
F10:1
F10D1:1
F11:1
F11D1:1
F12:1
F12D1:1
F1D1:1
F2:1
F2D1:1
F3:1
F3D1:1
F4:1
F4D1:1
F5:1
F5D1:1
F6:1
F6D1:1
F7:1
F7D1:1
F8:1
F8D1:1
F9:1
F9D1:1
FN1:1
GL850G1:1
I1:1
J1:1
J2:1
J3:1
J4:1
J5:1
J6:1
LEFT1:1
O1:1
OPTION1:1
OPTION2:1
P1:1
PGDOWN1:1
PGUP1:1
Q1:1
R1:1
R11:1
R12:1
R13:1
R14:1
R15:1
R16:1
R17:1
R3:1
R4:1
R5:1
R6:1
R7:1
R8:1
R9:1
RIGHT1:1
RKEY1:1
S45:1
S46:1
S47:1
S48:1
S49:1
S50:1
S51:1
S52:1
S53:1
S54:1
S55:1
S56:1
S57:1
S58:1
S59:1
S60:1
S61:1
S62:1
S63:1
S64:1
S65:1
S66:1
S67:1
S68:1
S69:1
S70:1
S71:1
S72:1
SPACE1:1
SPACE2:1
SPACE3:1
SPACE4:1
SW1:1
T1:1
TAB1:1
U1:1
U3:1
U4:1
UKEY1:1
UP1:1
W1:1
Y1:1
Y2:1
YKEY11:1
[{1:1
\|1:1
]}1:1
`~1:1
`~D1:1
