Designator,Mid X,Mid Y,Rotation,Layer
-_1,238.57,-88.35,0.0,top
-_D1,245.9,-94.25,90.0,bottom
0)1,219.52,-88.35,0.0,top
0)D1,226.85,-94.25,90.0,bottom
1!1,48.07,-88.35,0.0,top
1!D1,55.4,-94.05,90.0,bottom
2@1,67.12,-88.35,0.0,top
2@D1,74.45,-94.05,90.0,bottom
3#1,86.17,-88.35,0.0,top
3#D1,93.5,-94.25,90.0,bottom
4$1,105.22,-88.35,0.0,top
4$D1,112.55,-94.25,90.0,bottom
5%1,124.27,-88.35,0.0,top
5%D1,131.6,-94.25,90.0,bottom
6^1,143.32,-88.35,0.0,top
6^D1,150.65,-94.25,90.0,bottom
7&1,162.37,-88.35,0.0,top
7&D1,169.7,-94.25,90.0,bottom
8*1,181.42,-88.35,0.0,top
8*D1,188.75,-94.25,90.0,bottom
9(1,200.47,-88.35,0.0,top
9(D1,207.8,-94.25,90.0,bottom
=+1,257.62,-88.35,0.0,top
=+D1,264.95,-94.25,90.0,bottom
BACKSPACE1,276.67,-88.35,0.0,top
BACKSPACE2,295.72,-88.35,0.0,top
BACKSPACED1,284.0,-94.25,90.0,bottom
BACKSPACED2,303.05,-94.25,90.0,bottom
C1,182.37,-50.365,270.0,bottom
C10,166.68,-46.895,90.0,bottom
C11,163.33,-46.895,90.0,bottom
C12,159.98,-46.895,90.0,bottom
C13,111.355476,-23.705476,180.0,bottom
C14,202.47,-44.715,90.0,bottom
C15,126.93,-51.1,180.0,bottom
C16,122.56,-45.99,180.0,bottom
C17,182.37,-44.715,90.0,bottom
C2,185.72,-50.365,270.0,bottom
C20,163.06,-38.83,0.0,bottom
C21,167.785,-39.1,0.0,bottom
C22,152.915,-22.04,180.0,bottom
C23,111.355,-17.005476,0.0,bottom
C24,111.355,-20.355476,0.0,bottom
C25,195.77,-44.715,270.0,bottom
C26,199.12,-44.715,270.0,bottom
C27,192.42,-44.715,270.0,bottom
C3,189.07,-50.365,270.0,bottom
C4,192.42,-50.365,270.0,bottom
C5,195.77,-50.365,270.0,bottom
C6,199.12,-50.365,270.0,bottom
C7,202.47,-50.365,270.0,bottom
C8,189.07,-44.715,90.0,bottom
C9,185.72,-44.715,90.0,bottom
COMMAND1,86.17,-164.55,0.0,top
COMMAND2,219.521,-164.55,0.0,top
CONTROL1,48.07,-164.55,0.0,top
D31,43.46,-113.1,90.0,bottom
D32,65.45,-113.1,90.0,bottom
D33,84.5,-113.1,90.0,bottom
D34,103.55,-113.1,90.0,bottom
D35,122.6,-113.1,90.0,bottom
D36,141.65,-113.1,90.0,bottom
D37,160.7,-113.1,90.0,bottom
D38,179.75,-113.1,90.0,bottom
D39,198.8,-113.1,90.0,bottom
D40,217.85,-113.1,90.0,bottom
D41,236.9,-113.1,90.0,bottom
D42,255.95,-113.1,90.0,bottom
D43,274.1,-113.1,90.0,bottom
D44,299.15,-113.1,90.0,bottom
D45,46.78,-132.15,90.0,bottom
D46,69.48,-132.15,90.0,bottom
D47,88.53,-132.15,90.0,bottom
D48,107.58,-132.15,90.0,bottom
D49,126.63,-132.15,90.0,bottom
D50,145.68,-132.15,90.0,bottom
D51,164.73,-132.15,90.0,bottom
D52,183.78,-132.15,90.0,bottom
D53,202.83,-132.195,90.0,bottom
D54,221.88,-132.195,90.0,bottom
D55,240.93,-132.195,90.0,bottom
D56,259.98,-132.195,90.0,bottom
D57,279.03,-132.195,90.0,bottom
D58,302.08,-132.195,90.0,bottom
D59,41.12,-151.2,90.0,bottom
D60,63.14,-151.2,90.0,bottom
D61,84.04,-151.2,90.0,bottom
D62,103.09,-151.245,90.0,bottom
D63,122.14,-151.245,90.0,bottom
D64,141.19,-151.245,90.0,bottom
D65,160.24,-151.245,90.0,bottom
D66,179.29,-151.245,90.0,bottom
D67,198.34,-151.245,90.0,bottom
D68,217.39,-151.245,90.0,bottom
D69,236.44,-151.245,90.0,bottom
D70,255.49,-151.245,90.0,bottom
D71,274.54,-151.245,90.0,bottom
D72,298.59,-151.245,90.0,bottom
D73,36.35,-170.295,90.0,bottom
D74,55.4,-170.295,90.0,bottom
D75,74.45,-170.295,90.0,bottom
D76,93.5,-170.295,90.0,bottom
D77,117.55,-170.295,90.0,bottom
D78,146.6,-170.295,90.0,bottom
D79,175.65,-170.295,90.0,bottom
D80,204.7,-170.295,90.0,bottom
D81,226.75,-170.295,90.0,bottom
D82,245.8,-170.295,90.0,bottom
D84,264.85,-170.295,90.0,bottom
D85,283.9,-170.295,90.0,bottom
D86,302.95,-170.295,90.0,bottom
D87,264.85,-189.3,90.0,bottom
D88,283.9,-189.3,90.0,bottom
D89,302.95,-189.3,90.0,bottom
D91,269.33,-38.265,90.0,top
DEL1,276.67,-69.3,0.0,top
DEL2,295.72,-69.3,0.0,top
DELD1,284.0,-75.0,90.0,bottom
DELD2,303.05,-75.0,90.0,bottom
DOWN1,276.671,-183.6,0.0,top
E1,95.694,-107.4,0.0,top
ESC1,29.02,-69.3,0.0,top
ESCD1,36.35,-75.0,90.0,bottom
F1,48.07,-69.3,0.0,top
F10,219.52,-69.3,0.0,top
F10D1,226.85,-75.0,90.0,bottom
F11,238.57,-69.3,0.0,top
F11D1,245.9,-75.0,90.0,bottom
F12,257.62,-69.3,0.0,top
F12D1,264.95,-75.0,90.0,bottom
F1D1,55.4,-75.0,90.0,bottom
F2,67.12,-69.3,0.0,top
F2D1,74.45,-75.0,90.0,bottom
F3,86.17,-69.3,0.0,top
F3D1,93.5,-75.0,90.0,bottom
F4,105.22,-69.3,0.0,top
F4D1,112.55,-75.0,90.0,bottom
F5,124.27,-69.3,0.0,top
F5D1,131.6,-75.0,90.0,bottom
F6,143.32,-69.3,0.0,top
F6D1,150.65,-75.0,90.0,bottom
F7,162.37,-69.3,0.0,top
F7D1,169.7,-75.0,90.0,bottom
F8,181.42,-69.3,0.0,top
F8D1,188.75,-75.0,90.0,bottom
F9,200.47,-69.3,0.0,top
F9D1,207.8,-75.0,90.0,bottom
FN1,29.02,-164.55,0.0,top
GL850G1,161.47,-32.214,90.0,bottom
I1,190.944,-107.4,0.0,top
J1,142.97,-25.63,180.0,top
J2,161.47,-17.71,180.0,bottom
J3,200.48,-24.08,180.0,bottom
J4,122.46,-24.08,180.0,bottom
J5,179.97,-25.63,180.0,top
LEFT1,257.621,-183.6,0.0,top
O1,209.884,-107.4,0.0,top
OPTION1,67.12,-164.55,0.0,top
OPTION2,238.571,-164.55,0.0,top
P1,229.044,-107.4,0.0,top
PGDOWN1,295.721,-164.55,0.0,top
PGUP1,257.621,-164.55,0.0,top
Q1,57.594,-107.4,0.0,top
R1,156.79,-40.4475,90.0,bottom
R11,269.33,-33.9,270.0,bottom
R12,176.5925,-35.97,0.0,bottom
R13,182.2525,-35.74,180.0,bottom
R14,168.3625,-41.41,180.0,bottom
R15,152.9225,-25.84,180.0,bottom
R16,261.37,-45.9925,90.0,bottom
R17,264.17,-45.9925,90.0,bottom
R3,151.2625,-35.74,0.0,bottom
R4,147.8925,-37.23,0.0,bottom
R5,127.9325,-40.55,90.0,bottom
R6,31.4325,-42.79,0.0,bottom
R7,31.4625,-39.99,180.0,bottom
R8,158.7275,-24.888,0.0,bottom
R9,163.5535,-24.888,0.0,bottom
RIGHT1,295.721,-183.6,0.0,top
RKEY1,114.744,-107.4,0.0,top
S45,36.1635,-126.45,0.0,top
S46,62.357,-126.45,0.0,top
S47,81.407,-126.45,0.0,top
S48,100.457,-126.45,0.0,top
S49,119.507,-126.45,0.0,top
S50,138.557,-126.45,0.0,top
S51,157.607,-126.45,0.0,top
S52,176.657,-126.45,0.0,top
S53,195.707,-126.45,0.0,top
S54,214.757,-126.45,0.0,top
S55,233.807,-126.45,0.0,top
S56,252.857,-126.45,0.0,top
S57,271.907,-126.45,0.0,top
S58,293.338,-126.45,0.0,top
S59,31.401,-145.5,0.0,top
S60,55.214,-145.5,0.0,top
S61,76.646,-145.5,0.0,top
S62,95.696,-145.5,0.0,top
S63,114.746,-145.5,0.0,top
S64,133.796,-145.5,0.0,top
S65,152.846,-145.5,0.0,top
S66,171.896,-145.5,0.0,top
S67,190.946,-145.5,0.0,top
S68,209.996,-145.5,0.0,top
S69,229.046,-145.5,0.0,top
S70,248.096,-145.5,0.0,top
S71,267.146,-145.5,0.0,top
S72,290.959,-145.5,0.0,top
SPACE1,109.983,-164.55,0.0,top
SPACE2,138.558,-164.55,0.0,top
SPACE3,167.134,-164.55,0.0,top
SPACE4,195.708,-164.55,0.0,top
SW1,23.33,-39.48,270.0,top
T1,133.794,-107.4,0.0,top
TAB1,33.782,-107.4,0.0,top
U1,139.5425,-44.29,180.0,bottom
U3,150.31,-47.1275,90.0,bottom
U4,212.8025,-23.02,90.0,bottom
UKEY1,171.894,-107.4,0.0,top
UP1,276.671,-164.55,0.0,top
W1,76.644,-107.4,0.0,top
Y1,126.8625,-47.0025,180.0,bottom
Y2,163.48,-42.17,0.0,bottom
YKEY11,152.844,-107.4,0.0,top
[{1,248.094,-107.4,0.0,top
\|1,290.958,-107.4,0.0,top
]}1,267.144,-107.4,0.0,top
`~1,29.02,-88.35,0.0,top
`~D1,36.35,-94.05,90.0,bottom
